"","Словарная статья","Жест","Тип жеста","H1 Выбранные пальцы","H1 Сгиб","H1 Апертура","H1 Ширина","H1 Невыбранные пальцы","H1 Фокус","Ориентация H1 к H2","H2 Выбранные пальцы","H2 Сгиб","H2 Апертура","H2 Ширина","H2 Невыбранные пальцы","Ориентация H2 к H1"
"74","11779--примерный, приблизительный--MVI_3548.eaf","близкий","Type 2","all","bent","","pointed","","palm","palm","all","bent","","pointed","","back"
"75","11807--общественный документ--MVI_3593.eaf","документ","Type 2","all","fist","","","","radial/ulnar","palm","all","fist","","","","palm"
"76","11822--издатель--MVI_3617.eaf","издавать","Type 2","all","fist","","","","palm","palm","all","fist","","","","palm"
"78","11918--очередь--MVI_3750.eaf","очередь","Type2","all","straight","","wide","flexed","radial","ulnar","all","straight","","wide","","radial"
"79","11967--железнодорожный переезд--MVI_3825.eaf","шлагбаум","Type 2","1-st/2-nd","straight","","pointed","flexed","radial","tips","1-st/2-nd","straight","","pointed","flexed","tips"
"80","1199--Я хочу выписаться--MVI_1686.eaf","выписаться","Type 3","1-st","curved","","","flexed","back","palm","all","curved","closed","","","radial"
"81","12056--причина--MVI_3954.eaf","причина","Type 3","all","fist","","","","tips","tips","all","straight","","pointed","","palm"
"82","1206--Я две недели лежал в кровати--MVI_1691.eaf","лежать","Type 3","1-st/2-nd","straight","","wide","flexed","back","back","all","straight","","pointed","","palm"
"83","12061--замечание, критика--MVI_3959.eaf","выговор","Type 3","all","fist","","","","","radial","all","straight","","pointed","","palm"
"84","12065--недавно--MVI_3963.eaf","недавно","Type 3","all","bent","","pointed","","palm","back","all","straight","","pointed","","palm"
"85","12079--узнавать--MVI_3981.eaf","узнавать, расследовать","Type 3","1-st","curved","","","flexed","root","palm","all","straight","","pointed","","palm"
"86","12087--запись--MVI_3990.eaf","запись","Type 3","all","bent","closed","","","root","palm","all","straight","","pointed","","palm"
"87","12090--трудовой стаж--MVI_3993.eaf","стаж","Type 2","all","straight","","pointed","","tips/root","ulnar","all","straight","","pointed","","palm"
"88","12115--сангина--MVI_4025.eaf","рисовать","Type 3","thumb","straight","","","flexed","root","palm","all","straight","","pointed","","palm"
"89","12119--бюрократическая процедура--MVI_4029.eaf","бюрократическая процедура","Type 2","1-st","curved_around","","","flexed","root","tips","1-st","curved_around","","","flexed","radial"
"90","12120--красный чай--MVI_4030.eaf","чай","Type 3","1-st","curved","closed","","straight","palm","palm","all","curved","closed","","","radial"
"91","12161--регистрировать--MVI_4090.eaf","","Type 3","all","bent","closed","","","tips","tips","all","straight","","pointed","","palm"
"92","12161--регистрировать--MVI_4090.eaf","","Type 2","all","straight","","pointed","","palm","palm","all","straight","","pointed","","palm"
"93","1220--Я возьму этот галстук--MVI_1713.eaf","галстук","Type 3","1-st","curved","open","","flexed","ulnar","radial","all","curved","closed","","","ulnar"
"94","12223--нахождение под стражей--MVI_4193.eaf","арестовать","Type 3","all","fist","","","","tips","radial","all","straight","","pointed","","palm"
"95","12225--замечание--MVI_4197.eaf","замечание","Type 3","1-st","straight","","","flexed","","tips","all","straight","","pointed","","palm"
"96","12249--повторять--MVI_4229.eaf","повторять","Type 3","all","bent","closed","","","","palm","all","straight","","pointed","","palm"
"97","12265--представлять--MVI_4246.eaf","представлять","Type 3","thumb","straight","","","flexed","radial","radial","all","straight","","pointed","","palm"
"98","12322--ответственный--MVI_4321.eaf","ответственный","Type 3","1-st","curved","closed","","straight","ulnar","ulnar","all","straight","","pointed","","palm"
"99","12337--результат--MVI_4349.eaf","результат","Type 2","all","straight","","pointed","","ulnar","ulnar","all","straight","","pointed","","palm"
"100","12369--бранить, оскорблять--MVI_4386.eaf","оскорблять, бранить","Type 3","1-st","curved","","","flexed","ulnar","palm","1-st","straight","","","flexed","radial"
